ODPA-AP6F-ODPA-PEG1500 (50%) DMAc EAN RT,,,,ODPA-AP6F-ODPA-PEG1500 (50%) DMAc EAN 40C,,,,ODPA-AP6F-ODPA-PEG1500 (50%) DMAc EAN 50C,,,,ODPA-AP6F-ODPA-PEG1500 (50%) DMAc EAN 60C,,,,ODPA-AP6F-ODPA-PEG1500 (50%) DMAc EAN 70C,,,,ODPA-AP6F-ODPA-PEG1500 (50%) DMAc EAN 80C,,,,ODPA-AP6F-ODPA-PEG3400 (50%) DMAc EAN RT,,,,ODPA-AP6F-ODPA-PEG3400 (50%) DMAc EAN 40C,,,,ODPA-AP6F-ODPA-PEG3400 (50%) DMAc EAN 50C,,,,ODPA-AP6F-ODPA-PEG3400 (50%) DMAc EAN 60C,,,,ODPA-AP6F-ODPA-PEG3400 (50%) DMAc EAN 70C,,,,ODPA-AP6F-ODPA-PEG3400 (50%) DMAc EAN 80C,,,,ODPA-AP6F-ODPA-PEG1500 (50%) NMP EAN RT,,,,ODPA-AP6F-ODPA-PEG1500 (50%) NMP EAN 40C,,,,ODPA-AP6F-ODPA-PEG1500 (50%) NMP EAN 50C,,,,ODPA-AP6F-ODPA-PEG1500 (50%) NMP EAN 60C,,,,ODPA-AP6F-ODPA-PEG1500 (50%) NMP EAN 70C,,,,ODPA-AP6F-ODPA-PEG1500 (50%) NMP EAN 80C,,,,ODPA-AP6F-ODPA-PEG2000 (50%) DMAc EAN RT,,,,ODPA-AP6F-ODPA-PEG2000 (50%) DMAc EAN 40C,,,,ODPA-AP6F-ODPA-PEG2000 (50%) DMAc EAN 50C,,,,ODPA-AP6F-ODPA-PEG2000 (50%) DMAc EAN 60C,,,,ODPA-AP6F-ODPA-PEG2000 (50%) DMAc EAN 70C,,,,ODPA-AP6F-ODPA-PEG2000 (50%) DMAc EAN 80C,,,,ODPA-AP6F-ODPA-PEG1500 (50%) 2 step DMAc EAN RT,,,,ODPA-AP6F-ODPA-PEG1500 (50%) 2 step DMAc EAN 40C,,,,ODPA-AP6F-ODPA-PEG1500 (50%) 2 step DMAc EAN 50C,,,,ODPA-AP6F-ODPA-PEG1500 (50%) 2 step DMAc EAN 60C,,,,ODPA-AP6F-ODPA-PEG1500 (50%) 2 step DMAc EAN 70C,,,,ODPA-AP6F-ODPA-PEG1500 (50%) 2 step DMAc EAN 80C,,,,ODPA-AP6F-ODPA-PEG1500 (40%) DMAc EAN RT,,,,ODPA-AP6F-ODPA-PEG1500 (40%) DMAc EAN 40C,,,,ODPA-AP6F-ODPA-PEG1500 (40%) DMAc EAN 50C,,,,ODPA-AP6F-ODPA-PEG1500 (40%) DMAc EAN 60C,,,,ODPA-AP6F-ODPA-PEG1500 (40%) DMAc EAN 70C,,,,ODPA-AP6F-ODPA-PEG1500 (40%) DMAc EAN 80C,,,,ODPA-AP6F-ODPA-PEG990 (50%) DMAc EAN RT,,,,ODPA-AP6F-ODPA-PEG990 (50%) DMAc EAN 40C,,,,ODPA-AP6F-ODPA-PEG990 (50%) DMAc EAN 50C,,,,ODPA-AP6F-ODPA-PEG990 (50%) DMAc EAN 60C,,,,ODPA-AP6F-ODPA-PEG990 (50%) DMAc EAN 70C,,,,ODPA-AP6F-ODPA-PEG990 (50%) DMAc EAN 80C,,,,ODPA-AP6F-ODPA-PEG1500 (30%) DMAc EAN RT,,,,ODPA-AP6F-ODPA-PEG1500 (30%) DMAc EAN 40C,,,,ODPA-AP6F-ODPA-PEG1500 (30%) DMAc EAN 50C,,,,ODPA-AP6F-ODPA-PEG1500 (30%) DMAc EAN 60C,,,,ODPA-AP6F-ODPA-PEG1500 (30%) DMAc EAN 70C,,,,ODPA-AP6F-ODPA-PEG1500 (30%) DMAc EAN 80C,,
0.101815,66765.19507,46735.63655,,0.102374,22384.57417,26861.489,,0.102374,22477.20036,37087.38059,,0.102374,22054.20393,50724.66903,,0.102374,21147.44753,69786.57685,,0.102374,16038.9759,80194.87949,,0.13798702,141459.2534,424377.7603,,0.102374,163170.4649,652681.8597,,0.102374,170551.9524,426379.8811,,0.102374,181297.0182,543891.0547,,0.102374,196894.4307,689130.5075,,0.102374,206519.9426,826079.7702,,0.101815,287997.1612,57599.43224,,0.102374,16348.49328,24522.73991,,0.102374,17346.27544,34692.55088,,0.102374,16946.13367,42365.33418,,0.102374,98999.48398,148499.226,,0.102374,418808.1189,1465828.416,,0.101815,41701.14334,75062.05801,,0.13798702,2438.003188,43884.05739,,0.13798702,2556.350005,46014.30009,,0.13798702,2571.407012,51428.14024,,0.13798702,2630.183462,57864.03615,,0.13798702,2806.513437,67356.32249,,0.101815,229489.3162,91795.72648,,0.100538,14282.77541,85696.65247,,0.100538,14693.93293,102857.5305,,0.100538,14769.33483,125539.3461,,0.100538,15019.25586,165211.8145,,0.100538,15229.6222,213214.7108,,0.101815,28000.58187,42000.87281,,0.100538,10196.71456,81573.71648,,0.100538,10217.04101,91953.36907,,0.100538,9995.344483,99953.44483,,0.100538,9268.301648,101951.3181,,0.100538,9025.13664,108301.6397,,0.101815,118221.447,35466.43409,,0.100538,9554.247598,33439.86659,,0.100538,9334.291034,46671.45517,,0.100538,9197.126673,64379.88671,,0.100538,10191.81662,91726.34957,,0.100538,11004.5278,143058.8614,,0.13798702,6524.373386,19573.12016,,0.13798702,2383.725,21453.525,,0.13798702,2778.448552,27784.48552,,0.13798702,3146.023148,37752.27778,,0.13798702,3566.327728,46362.26046,,0.13798702,4346.197011,60846.75815
0.104724,61827.31947,43279.12363,,0.105385,21993.48972,26392.18766,,0.105385,22185.81468,36606.59422,,0.105385,21667.44904,49835.13279,,0.105385,20795.05478,68623.68078,,0.105385,16687.55309,83437.76543,,0.14688941,133661.2315,400983.6946,,0.105385,159755.4692,639021.8767,,0.105385,167587.024,418967.5601,,0.105385,178082.4115,534247.2345,,0.105385,193684.1815,677894.6352,,0.105385,204048.0502,816192.2008,,0.104724,274721.9865,54944.3973,,0.105385,16177.51593,24266.2739,,0.105385,17296.91529,34593.83057,,0.105385,16944.23806,42360.59515,,0.105385,91617.13159,137425.6974,,0.105385,394045.5526,1379159.434,,0.104724,39668.89312,71404.00762,,0.14688941,2405.742176,43303.35918,,0.14688941,2554.457048,45980.22686,,0.14688941,2595.420459,51908.40918,,0.14688941,2679.323925,58945.12636,,0.14688941,2757.193568,66172.64563,,0.104724,216779.4561,86711.78243,,0.103495,13585.23249,81511.39494,,0.103495,14060.13462,98420.94231,,0.103495,14122.29084,120039.4721,,0.103495,14234.2666,156576.9326,,0.103495,14622.56891,204715.9647,,0.104724,26110.2575,39165.38625,,0.103495,9561.782032,76494.25626,,0.103495,9690.191613,87211.72452,,0.103495,9477.074116,94770.74116,,0.103495,8864.601224,97510.61347,,0.103495,8730.438371,104765.2605,,0.104724,110417.8794,33125.36382,,0.103495,9452.332627,33083.16419,,0.103495,9386.363761,46931.81881,,0.103495,9223.343421,64563.40395,,0.103495,10034.76309,90312.86784,,0.103495,10882.75408,141475.803,,0.14688941,5547.412323,16642.23697,,0.14688941,2452.888263,22075.99437,,0.14688941,2639.325207,26393.25207,,0.14688941,2993.609396,35923.31275,,0.14688941,3519.767464,45756.97703,,0.14688941,4129.591498,57814.28097
0.107633,56600.43116,39620.30181,,0.108396,21525.13997,25830.16796,,0.108396,21760.19876,35904.32795,,0.108396,21315.80212,49026.34489,,0.108396,20335.92496,67108.55238,,0.108396,17254.90306,86274.51529,,0.15579179,130591.9824,391775.9473,,0.108396,156292.5599,625170.2398,,0.108396,164187.4229,410468.5572,,0.108396,174484.7148,523454.1443,,0.108396,189841.1815,664444.1353,,0.108396,200755.7465,803022.9858,,0.107633,259065.4592,51813.09185,,0.108396,15913.90336,23870.85504,,0.108396,17085.74076,34171.48152,,0.108396,16876.68199,42191.70498,,0.108396,84781.68591,127172.5289,,0.108396,372961.917,1305366.709,,0.107633,36495.51511,65691.92719,,0.15579179,2401.377488,43224.79479,,0.15579179,2531.364745,45564.56541,,0.15579179,2576.708787,51534.17575,,0.15579179,2714.162702,59711.57944,,0.15579179,2790.92519,66982.20456,,0.107633,198829.6358,79531.85433,,0.106452,12972.19102,77833.14613,,0.106452,13457.14169,94199.99181,,0.106452,13593.24547,115542.5865,,0.106452,13707.64666,150784.1132,,0.106452,14097.03135,197358.4389,,0.107633,24178.60107,36267.9016,,0.106452,8972.363127,71778.90502,,0.106452,9175.746734,82581.7206,,0.106452,9107.31291,91073.1291,,0.106452,8491.177068,93402.94775,,0.106452,8414.85949,100978.3139,,0.107633,104233.4818,31270.04454,,0.106452,9326.310038,32642.08513,,0.106452,9271.675368,46358.37684,,0.106452,9242.81924,64699.73468,,0.106452,9968.522619,89716.70357,,0.106452,10828.93961,140776.215,,0.15579179,5461.986746,16385.96024,,0.15579179,2513.633174,22622.69856,,0.15579179,2518.898259,25188.98259,,0.15579179,2848.230997,34178.77197,,0.15579179,3570.915689,46421.90395,,0.15579179,4156.410352,58189.74493
0.110542,53833.97473,37683.78231,,0.111407,21140.1453,25368.17436,,0.111407,21362.39727,35247.95549,,0.111407,20895.08134,48058.68709,,0.111407,19962.79669,65877.22906,,0.111407,17809.5953,89047.97651,,0.16469419,128484.1474,385452.4422,,0.111407,152917.3349,611669.3398,,0.111407,160576.7316,401441.829,,0.111407,170901.9922,512705.9766,,0.111407,185875.2172,650563.2602,,0.111407,197800.0093,791200.0372,,0.110542,251102.1167,50220.42334,,0.111407,15804.74311,23707.11466,,0.111407,16945.38338,33890.76676,,0.111407,16832.17419,42080.43546,,0.111407,77767.94602,116651.919,,0.111407,348027.2763,1218095.467,,0.110542,35493.92264,63889.06075,,0.16469419,2399.676812,43194.18261,,0.16469419,2499.904509,44998.28117,,0.16469419,2584.012603,51680.25207,,0.16469419,2699.106969,59380.35332,,0.16469419,2838.424301,68122.18322,,0.110542,188208.2053,75283.2821,,0.109409,12582.00641,75492.03846,,0.109409,12900.57005,90303.99038,,0.109409,13084.75653,111220.4305,,0.109409,13332.90048,146661.9053,,0.109409,13562.85926,189880.0297,,0.110542,23277.94507,34916.91761,,0.109409,8279.089857,66232.71885,,0.109409,8603.136774,77428.23097,,0.109409,8578.428503,85784.28503,,0.109409,8018.194388,88200.13827,,0.109409,8039.953617,96479.4434,,0.110542,98064.3827,29419.31481,,0.109409,9371.911801,32801.6913,,0.109409,9207.547222,46037.73611,,0.109409,9289.141404,65023.98983,,0.109409,10056.1631,90505.46794,,0.109409,10964.21026,142534.7334,,0.16469419,5343.373362,16030.12009,,0.16469419,2405.846968,21652.62272,,0.16469419,2570.555617,25705.55617,,0.16469419,2814.778666,33777.34399,,0.16469419,3439.6298,44715.1874,,0.16469419,4074.654715,57045.16602
0.113451,50891.44904,35624.01432,,0.114418,20956.9001,25148.28013,,0.114418,21025.19952,34691.5792,,0.114418,20577.39203,47328.00167,,0.114418,19636.30529,64799.80745,,0.114418,18283.68815,91418.44077,,0.17359657,127504.0812,382512.2435,,0.114418,149810.2587,599241.0347,,0.114418,157450.144,393625.3601,,0.114418,167429.1103,502287.3309,,0.114418,182311.1049,638088.8673,,0.114418,195148.832,780595.328,,0.113451,241838.0194,48367.60388,,0.114418,15738.39445,23607.59167,,0.114418,16878.98689,33757.97378,,0.114418,16837.05265,42092.63163,,0.114418,72898.36841,109347.5526,,0.114418,329147.3973,1152015.891,,0.113451,34162.24802,61492.04643,,0.17359657,2401.2826,43223.0868,,0.17359657,2516.884376,45303.91877,,0.17359657,2581.352991,51627.05981,,0.17359657,2706.903535,59551.87777,,0.17359657,2858.323374,68599.76098,,0.113451,179292.1077,71716.84308,,0.112366,12243.32064,73459.92383,,0.112366,12493.30892,87453.16244,,0.112366,12626.25791,107323.1922,,0.112366,12974.81864,142723.005,,0.112366,13233.81294,185273.3811,,0.113451,22205.88125,33308.82188,,0.112366,7888.021639,63104.17311,,0.112366,8194.394758,73749.55282,,0.112366,8216.444064,82164.44064,,0.112366,7670.751685,84378.26854,,0.112366,7764.976649,93179.71978,,0.113451,90360.53851,27108.16155,,0.112366,9349.576548,32723.51792,,0.112366,9151.912238,45759.56119,,0.112366,9347.959727,65435.71809,,0.112366,10064.87918,90583.9126,,0.112366,11014.24442,143185.1774,,0.17359657,5170.824591,15512.47377,,0.17359657,2413.682095,21723.13885,,0.17359657,2460.060862,24600.60862,,0.17359657,2873.51373,34482.16476,,0.17359657,3403.989562,44251.86431,,0.17359657,4053.322397,56746.51355
0.11636,47564.73569,33295.31498,,0.117429,20648.33415,24778.00098,,0.117429,20720.69881,34189.15303,,0.117429,20351.4905,46808.42816,,0.117429,19406.11911,64040.19305,,0.117429,18534.1267,92670.63349,,0.18249895,126597.3452,379792.0357,,0.117429,146704.0456,586816.1825,,0.117429,154098.1212,385245.3029,,0.117429,163882.5721,491647.7164,,0.117429,178519.6846,624818.8961,,0.117429,192028.601,768114.4039,,0.11636,234982.0759,46996.41518,,0.117429,15585.10872,23377.66307,,0.117429,16831.8675,33663.73499,,0.117429,16808.0905,42020.22625,,0.117429,68416.40733,102624.611,,0.117429,303735.7688,1063075.191,,0.11636,33309.2615,59956.6707,,0.18249895,2423.225982,43618.06768,,0.18249895,2551.79441,45932.29938,,0.18249895,2636.453026,52729.06053,,0.18249895,2752.156285,60547.43827,,0.18249895,2854.637149,68511.29159,,0.11636,172603.5375,69041.415,,0.115323,11761.64939,70569.89634,,0.115323,12050.38648,84352.70535,,0.115323,12228.06199,103938.5269,,0.115323,12503.426,137537.686,,0.115323,12885.34198,180394.7877,,0.11636,21207.65551,31811.48327,,0.115323,7420.89338,59367.14704,,0.115323,7785.598427,70070.38585,,0.115323,7782.542082,77825.42082,,0.115323,7476.834959,82245.18455,,0.115323,7480.420433,89765.0452,,0.11636,85526.05199,25657.8156,,0.115323,9317.251351,32610.37973,,0.115323,9190.351266,45951.75633,,0.115323,9389.290249,65725.03175,,0.115323,10095.471,90859.23902,,0.115323,11067.35241,143875.5814,,0.20030374,5163.925627,15491.77688,,0.18249895,2405.805932,21652.25338,,0.18249895,2538.428824,25384.28824,,0.18249895,2861.159643,34333.91571,,0.18249895,3347.616698,43519.01707,,0.18249895,4015.649164,56219.0883
0.119269,45436.66834,31805.66784,,0.12044,20357.31305,24428.77566,,0.12044,20418.15505,33689.95583,,0.12044,20041.03423,46094.37872,,0.12044,19125.22321,63113.23658,,0.12044,18903.73593,94518.67965,,0.19140135,126910.4542,380731.3625,,0.12044,144096.1587,576384.6348,,0.12044,151503.6979,378759.2448,,0.12044,161151.2413,483453.724,,0.12044,175825.7234,615390.0319,,0.12044,190166.4815,760665.9259,,0.119269,228093.8375,45618.76751,,0.12044,15475.02755,23212.54133,,0.12044,16807.47737,33614.95474,,0.12044,16789.90045,41974.75113,,0.12044,64954.32119,97431.48179,,0.12044,291819.6059,1021368.621,,0.119269,32711.84364,58881.31854,,0.19140135,2466.127518,44390.29532,,0.19140135,2566.028409,46188.51136,,0.19140135,2649.106965,52982.13931,,0.19140135,2768.221028,60900.86261,,0.19140135,2936.889846,70485.35631,,0.119269,166004.402,66401.76081,,0.11828,11356.78034,68140.68203,,0.11828,11735.85161,82150.96127,,0.11828,11869.33758,100889.3695,,0.11828,12170.00515,133870.0567,,0.11828,12559.0055,175826.077,,0.119269,20194.7991,30292.19866,,0.11828,7123.197458,56985.57966,,0.11828,7434.151089,66907.3598,,0.11828,7442.383294,74423.83294,,0.11828,7271.208006,79983.28806,,0.11828,7364.641535,88375.69842,,0.119269,81697.19495,24509.15849,,0.11828,9234.48636,32320.70226,,0.11828,9293.005003,46465.02501,,0.11828,9448.735763,66141.15034,,0.11828,10118.33419,91065.00767,,0.11828,11074.61668,143970.0168,,0.20920612,4911.053272,14733.15982,,0.19140135,2269.4856,20425.3704,,0.19140135,2549.332562,25493.32562,,0.19140135,2765.268015,33183.21618,,0.19140135,3310.951342,43042.36744,,0.19140135,3848.758205,53882.61487
0.122178,44236.87778,30965.81444,,0.123451,20240.19822,24288.23787,,0.123451,20176.17782,33290.6934,,0.123451,19840.1186,45632.27277,,0.123451,18887.48024,62328.68478,,0.123451,19211.21136,96056.05679,,0.20030374,127218.5077,381655.5232,,0.123451,141997.7315,567990.926,,0.123451,149307.3482,373268.3706,,0.123451,158560.5771,475681.7314,401686.2912,0.123451,173352.2466,606732.8629,,0.123451,188542.785,754171.1401,,0.122178,222592.9304,44518.58607,,0.123451,15481.22723,23221.84085,,0.123451,16775.44595,33550.8919,,0.123451,16863.34374,42158.35934,,0.123451,61938.20528,92907.30793,,0.123451,277455.1136,971092.8977,,0.122178,31720.14299,57096.25738,,0.20030374,2470.741147,44473.34065,,0.20030374,2590.890199,46636.02359,,0.20030374,2664.907879,53298.15758,,0.20030374,2825.543358,62161.95388,,0.20030374,2969.648548,71271.56515,,0.122178,158597.6558,63439.06234,,0.121237,11155.70107,66934.20644,,0.121237,11528.09578,80696.67043,,0.121237,11640.39314,98943.34172,,0.121237,12012.32738,132135.6012,,0.121237,12461.53986,174461.5581,,0.122178,19735.53483,29603.30225,,0.121237,6870.142799,54961.14239,,0.121237,7130.099355,64170.89419,,0.121237,7222.67811,72226.7811,,0.121237,7052.148035,77573.62839,,0.121237,7199.896321,86398.75585,,0.122178,76834.26025,23050.27808,,0.121237,9207.914109,32227.69938,,0.121237,9231.318763,46156.59381,,0.121237,9524.20963,66669.46741,,0.121237,10178.66141,91607.9527,,0.121237,11278.7752,146624.0776,,0.21810852,4696.641388,14089.92416,,0.20030374,2290.580953,20615.22857,,0.20030374,2459.367931,24593.67931,,0.20030374,2737.572946,32850.87535,,0.20030374,3359.866787,43678.26823,,0.20030374,3853.327041,53946.57857
0.125087,42686.61966,29880.63376,,0.126462,20202.51671,24243.02005,,0.126462,20112.06267,33184.9034,,0.126462,19731.12346,45381.58395,,0.126462,18729.98717,61808.95768,,0.126462,19552.29425,97761.47126,,0.20920612,128390.6001,385171.8004,,0.126462,139755.8788,559023.5151,,0.126462,147148.1366,367870.3416,,0.126462,156298.9473,468896.8418,,0.126462,171118.2664,598913.9325,,0.126462,186795.6317,747182.527,,0.125087,219430.1699,43886.03397,,0.126462,15393.83098,23090.74647,,0.126462,16640.481,33280.96201,,0.126462,16866.43315,42166.08288,,0.126462,59688.14295,89532.21443,,0.126462,263659.5808,922808.5328,,0.125087,30779.31233,55402.76219,,0.20920612,2503.274294,45058.93729,,0.20920612,2625.080808,47251.45454,,0.20920612,2701.600639,54032.01277,,0.20920612,2874.126337,63230.77941,,0.20920612,3013.033495,72312.80389,,0.125087,153463.674,61385.4696,,0.124194,10865.91596,65195.49578,,0.124194,11270.39542,78892.76793,,0.124194,11355.12746,96518.58344,,0.124194,11837.34749,130210.8224,,0.124194,12288.13839,172033.9375,,0.125087,19074.51418,28611.77127,,0.124194,6486.42236,51891.37888,,0.124194,6796.451935,61168.06742,,0.124194,6910.479091,69104.79091,,0.124194,6836.371298,75200.08428,,0.124194,6979.541442,83754.4973,,0.125087,71357.55078,21407.26524,,0.124194,9180.838951,32132.93633,,0.124194,9171.364684,45856.82342,,0.124194,9556.257595,66893.80317,,0.124194,10169.23854,91523.14688,,0.124194,11298.04393,146874.5711,,0.2270109,4781.605969,14344.81791,,0.20920612,2316.521179,20848.69061,,0.20920612,2464.171417,24641.71417,,0.20920612,2728.684425,32744.2131,,0.20920612,3287.155328,42733.01926,,0.20920612,3922.161687,54910.26361
0.127996,41312.38634,28918.67044,,0.129473,20195.59752,24234.71702,,0.129473,20025.79034,33042.55406,,0.129473,19643.1136,45179.16128,,0.129473,18531.0277,61152.3914,,0.129473,19817.61242,99088.06212,,0.21810852,130295.4328,390886.2983,,0.129473,137392.613,549570.4519,,0.129473,144817.7774,362044.4435,,0.129473,153812.7914,461438.3742,,0.129473,168747.7249,590617.0372,,0.129473,184887.954,739551.8161,,0.127996,213679.2952,42735.85903,,0.129473,15275.31151,22912.96726,,0.129473,16477.25921,32954.51842,,0.129473,16896.69554,42241.73886,,0.129473,57040.44574,85560.66861,,0.129473,246425.1357,862487.9748,,0.127996,30039.23482,54070.62268,,0.21810852,2514.999576,45269.99238,,0.21810852,2654.671227,47784.08208,,0.21810852,2742.437999,54848.75997,,0.21810852,2915.764213,64146.81268,,0.21810852,3071.737495,73721.69988,,0.127996,148423.2327,59369.29307,,0.127151,10560.47385,63362.84309,,0.127151,11016.49231,77115.44618,,0.127151,11203.90071,95233.15604,,0.127151,11663.20035,128295.2039,,0.127151,12042.58216,168596.1503,,0.127996,18411.691,27617.5365,,0.127151,6275.084522,50200.67618,,0.127151,6583.95375,59255.58375,,0.127151,6711.659689,67116.59689,,0.127151,6704.552998,73750.08298,,0.127151,6894.622962,82735.47554,,0.127996,68342.86523,20502.85957,,0.127151,9294.586891,32531.05412,,0.127151,9244.333351,46221.66675,,0.127151,9514.01343,66598.09401,,0.127151,10242.68814,92184.19327,,0.127151,11394.46359,148128.0266,,0.24481568,4412.517153,13237.55146,,0.21810852,2278.390842,20505.51758,,0.21810852,2377.712341,23777.12341,,0.21810852,2752.436511,33029.23813,,0.21810852,3288.25607,42747.32891,,0.21810852,3816.997559,53437.96582
