ODPA-AP6F-ODPA-PEG1500 (10%),,,,ODPA-AP6F-ODPA-PEG1500 (20%),,,,ODPA-AP6F-ODPA-PEG1500 (30%),,,,ODPA-AP6F-ODPA-PEG1500 (40%),,,,ODPA-AP6F-ODPA-PEG1500 (50%),,
0.098906,27317.07703,27317.07703,,0.15579179,12196.5805,85376.06353,,0.13798702,1530.112279,29072.1333,,0.11324,73403.69574,73403.69574,,0.150228,42976.80753,85953.61507
0.101815,23809.90129,23809.90129,,0.16469419,9541.706678,66791.94675,,0.14688941,1371.344993,26055.55487,,0.11622,70176.86565,70176.86565,,0.153117,43091.04417,86182.08833
0.104724,19786.59554,19786.59554,,0.17359657,7388.401107,51718.80775,,0.15579179,1255.086847,23846.6501,,0.1192,67324.21498,67324.21498,,0.156006,43489.7861,86979.57219
0.107633,15817.13169,15817.13169,,0.18249895,6039.148126,42274.03688,,0.16469419,1146.04079,21774.77502,,0.12218,64816.36947,64816.36947,,0.158895,43691.24421,87382.48842
0.110542,15286.67993,15286.67993,,0.19140135,5251.176555,36758.23589,,0.17359657,1091.048732,20729.92591,,0.12516,62502.9926,62502.9926,,0.161784,43500.86336,87001.72671
0.113451,13276.10734,13276.10734,,0.20030374,4561.836925,31932.85847,,0.18249895,1007.031734,19133.60295,,0.12814,60947.71157,60947.71157,,0.164673,43267.29352,86534.58703
0.11636,12136.76509,12136.76509,,0.20920612,3960.660087,27724.62061,,0.19140135,972.1700268,18471.23051,,0.13112,60029.68023,60029.68023,,0.167562,43285.54149,86571.08297
0.119269,12480.17053,12480.17053,,0.21810852,3487.615515,24413.30861,,0.20030374,932.3289072,17714.24924,,0.1341,58338.9868,58338.9868,,0.170451,43495.58625,86991.17249
0.122178,11099.0009,11099.0009,,0.2270109,3112.305178,21786.13625,,0.20920612,913.7787201,17361.79568,,0.13708,56545.83991,56545.83991,,0.17334,43526.16232,87052.32464
0.125087,10271.86901,10271.86901,,0.23591328,2801.788539,19612.51977,,0.21810852,880.2431658,16724.62015,,0.14006,55318.00863,55318.00863,,0.176229,43494.36486,86988.72971
0.127996,9243.327578,9243.327578,,0.24481568,2574.468214,18021.2775,,0.2270109,878.8351936,16697.86868,,0.14304,54641.72301,54641.72301,,0.179118,43309.20284,86618.40568
0.130905,9160.4583,9160.4583,,0.25371807,2414.935189,16904.54632,,0.23591328,866.2023524,16457.8447,,0.14602,53177.66828,53177.66828,,0.182007,43281.38947,86562.77894
0.133814,8498.95516,8498.95516,,0.26262045,2311.909518,16183.36662,,0.25371807,838.5423175,15932.30403,,0.149,52337.94,52337.94,,0.184896,43410.88993,86821.77987
0.136723,7741.509224,7741.509224,,0.27152285,2150.78898,15055.52286,,0.26262045,829.9499128,15769.04834,,0.15198,51482.11767,51482.11767,,0.187785,43736.63895,87473.27789
0.139632,7239.167603,7239.167603,,0.28042523,2065.280814,14456.9657,,0.27152285,831.5990756,15800.38244,,0.15496,50739.98644,50739.98644,,0.190674,43818.98671,87637.97342
0.142541,7407.822163,7407.822163,,0.28932761,1981.505937,13870.54156,,0.28042523,818.1882807,15545.57733,,0.15794,50272.46647,50272.46647,,0.193563,43956.13949,87912.27899
0.14545,7144.817112,7144.817112,,0.29823,1903.07912,13321.55384,,0.28932761,826.8372847,15709.90841,,0.16092,49424.32086,49424.32086,,0.196452,43892.04176,87784.08351
0.148359,7203.30761,7203.30761,,0.3071324,1816.357018,12714.49913,,0.29823,816.3952458,15511.50967,,0.1639,48894.20003,48894.20003,,0.199341,43926.47046,87852.94091
0.151268,6716.510225,6716.510225,,0.31603478,1863.291128,13043.03789,,0.3071324,835.0406231,15865.77184,,0.16688,48416.55347,48416.55347,,0.20223,44078.75404,88157.50808
0.154177,6619.315083,6619.315083,,0.32493718,1761.624688,12331.37281,,0.31603478,827.7435286,15727.12704,,0.16986,47725.74328,47725.74328,,0.205119,44097.08226,88194.16453
0.157086,6796.033767,6796.033767,,0.33383954,1707.567348,11952.97144,,0.32493718,841.3035219,15984.76692,,0.17284,46994.71628,46994.71628,,0.208008,44490.22529,88980.45058
0.159995,6400.109573,6400.109573,,0.34274194,1686.421755,11804.95229,,0.33383954,816.8066141,15519.32567,,0.17582,46538.44428,46538.44428,,0.210897,44420.27737,88840.55474
