ODPA-AP6F-ODPA-PEG1500 (40%) DMAc,,,,ODPA-AP6F-ODPA-PEG1500 (50%) DMAc 2 step,,,,ODPA-AP6F-ODPA-PEG990 (50%) DMAc,,,,ODPA-AP6F-ODPA-PEG1500 (50%) DMAc,,,,ODPA-AP6F-ODPA-PEG3400 (50%) DMAc,,,,ODPA-AP6F-ODPA-PEG1500 (50%) NMP,,,,ODPA-AP6F-ODPA-PEG2000 (50%) DMAc,,,,ODPA-AP6F-ODPA-PEG1500 (30%) DMAc,,,,ODPA-AP6F-ODPA-PEG6000 (50%) DMAc,,
0.11324,73403.69574,22021.10872,44042.21745,0.141072,35422.24536,46048.91897,,0.149889,18954.27186,5307.196122,,0.14695,27652.80309,13826.40154,55305.60618,0.141072,102869.023,68922.24544,,0.14695,27669.03726,11067.61491,,0.102374,71583.75127,34360.20061,,0.13798702,1530.112279,15301.12279,,0.114621,723695.1873,940803.7435
0.11622,70176.86565,21053.05969,42106.11939,0.144011,34581.76579,44956.29552,,0.152828,19040.46791,5331.331015,,0.149889,27539.93471,13769.96736,55079.86942,0.144011,100970.8498,67650.46938,,0.149889,27658.12182,11063.24873,,0.105385,69110.12572,33172.86035,,0.14688941,1371.344993,13713.44993,,0.11756,714347.9792,928652.3729
0.1192,67324.21498,20197.26449,40394.52899,0.14695,35848.3721,46602.88373,,0.155767,19558.74122,5476.447543,,0.152828,27373.08664,13686.54332,54746.17329,0.14695,103151.4054,69111.44163,,0.152828,27554.9858,11021.99432,,0.108396,66818.93293,32073.0878,,0.15579179,1255.086847,12550.86847,,0.120499,710645.1364,923838.6773
0.12218,64816.36947,19444.91084,38889.82168,0.149889,35000.27414,45500.35638,,0.158706,19224.42972,5382.840321,,0.155767,27332.20209,13666.10105,54664.40418,0.149889,102820.6787,68889.85474,,0.155767,27942.04194,11176.81678,,0.111407,64310.41196,30868.99774,,0.16469419,1146.04079,11460.4079,,0.123438,683138.398,888079.9174
0.12516,62502.9926,18750.89778,37501.79556,0.152828,35535.91932,46196.69512,,0.161645,19133.46453,5357.370069,,0.158706,27177.02707,13588.51353,54354.05413,0.152828,101682.0767,68126.99137,,0.158706,27498.09329,10999.23731,,0.114418,62438.53777,29970.49813,,0.17359657,1091.048732,10910.48732,,0.126377,678787.2417,882423.4142
0.12814,60947.71157,18284.31347,36568.62694,0.155767,35779.21584,46512.98059,,0.164584,18807.69811,5266.15547,,0.161645,27025.78013,13512.89007,54051.56026,0.155767,101982.4804,68328.26184,,0.161645,26813.06937,10725.22775,,0.117429,60226.95019,28908.93609,,0.18249895,1007.031734,10070.31734,,0.129316,666419.3564,866345.1633
0.13112,60029.68023,18008.90407,36017.80814,0.158706,35094.8524,45623.30812,,0.167523,19059.1876,5336.572529,,0.164584,26987.45382,13493.72691,53974.90763,0.158706,101201.1813,67804.79144,,0.164584,26669.01028,10667.60411,,0.12044,59080.16823,28358.48075,,0.19140135,972.1700268,9721.700268,,0.132255,645673.1014,839375.0318
0.1341,58338.9868,17501.69604,35003.39208,0.161645,34410.28475,44733.37017,,0.170462,18884.12664,5287.55546,,0.167523,26771.68341,13385.8417,53543.36682,0.161645,101076.1381,67721.01254,,0.167523,26779.76439,10711.90576,,0.123451,58191.10963,27931.73262,,0.20030374,932.3289072,9323.289072,,0.135194,622793.144,809631.0871
0.13708,56545.83991,16963.75197,33927.50394,0.164584,34623.09595,45010.02474,,0.173401,18621.81312,5214.107675,,0.170462,26398.85166,13199.42583,52797.70331,0.164584,100633.1832,67424.23276,,0.170462,26781.20952,10712.48381,,0.126462,56987.00264,27353.76127,,0.20920612,913.7787201,9137.787201,,0.138133,605032.0826,786541.7073
0.14006,55318.00863,16595.40259,33190.80518,0.167523,34258.99269,44536.6905,,0.17634,18627.36266,5215.661545,,0.173401,26181.324,13090.662,52362.648,0.167523,99912.56714,66941.41998,,0.173401,26452.85704,10581.14282,,0.129473,55906.45653,26835.09913,,0.21810852,880.2431658,8802.431658,,0.141072,588163.1528,764612.0986
0.14304,54641.72301,16392.5169,32785.03381,0.170462,33708.46289,43821.00175,,0.179279,18564.74028,5198.127278,,0.17634,26227.97998,13113.98999,52455.95997,0.170462,99912.59451,66941.43832,,0.17634,26271.87192,10508.74877,,0.132484,54858.30716,26331.98744,,0.2270109,878.8351936,8788.351936,,0.144011,576105.7851,748937.5206
0.14602,53177.66828,15953.30049,31906.60097,0.173401,33731.21439,43850.57871,,0.182218,18607.7202,5210.161656,,0.179279,26254.68143,13127.34072,52509.36286,0.173401,99858.39222,66905.12279,,0.179279,26163.84717,10465.53887,,0.135495,53990.80397,25915.5859,,0.23591328,866.2023524,8662.023524,,0.14695,568432.1415,738961.784
0.149,52337.94,15701.382,31402.764,0.17634,33949.73729,44134.65847,,0.185157,18354.46693,5139.250739,,0.182218,26292.48315,13146.24157,52584.96629,0.17634,100064.6332,67043.30425,,0.182218,25954.489,10381.7956,,0.138506,53018.86244,25449.05397,,0.25371807,838.5423175,8385.423175,,0.149889,559767.3205,727697.5167
0.15198,51482.11767,15444.6353,30889.2706,0.179279,33660.92955,43759.20842,,0.188096,18316.67998,5128.670394,,0.185157,26210.62875,13105.31437,52421.2575,0.179279,99561.78952,66706.39898,,0.185157,26218.28999,10487.316,,0.141517,52587.45101,25241.97649,,0.26262045,829.9499128,8299.499128,,0.152828,548167.5064,712617.7583
0.15496,50739.98644,15221.99593,30443.99187,0.182218,33422.60967,43449.39257,,0.191035,18155.45812,5083.528274,,0.188096,26377.99573,13188.99786,52755.99146,0.182218,98956.41214,66300.79613,,0.188096,26103.30996,10441.32399,,0.144528,51947.72755,24934.90922,,0.27152285,831.5990756,8315.990756,,0.155767,540413.7801,702537.9141
0.15794,50272.46647,15081.73994,30163.47988,0.185157,33339.24499,43341.01849,86622.59399,0.193974,18637.71388,5218.559887,,0.191035,26538.57071,13269.28535,53077.14142,0.185157,98795.17433,66192.7668,99141.8179,0.191035,26468.23602,10587.29441,,0.147539,51403.442,24673.65216,43786.19907,0.28042523,818.1882807,8181.882807,,0.158706,530555.2432,689721.8161
0.16092,49424.32086,14827.29626,29654.59252,0.188096,33125.15161,43062.69709,,0.196913,18766.61998,5254.653594,,0.193974,26322.30123,13161.15061,52644.60245,0.188096,99099.73092,66396.81972,,0.193974,26347.43141,10538.97256,,0.15055,51186.75365,24569.64175,,0.28932761,826.8372847,8268.372847,,0.161645,522823.844,679670.9972
0.1639,48894.20003,14668.26001,29336.52002,0.191035,33047.5571,42961.82423,,0.199852,18569.5651,5199.478229,,0.196913,26443.36015,13221.68008,52886.72031,0.191035,98641.44068,66089.76525,,0.196913,26350.55652,10540.22261,,0.153561,50242.50993,24116.40477,,0.29823,816.3952458,8163.952458,,0.164584,513612.1012,667695.7316
0.16688,48416.55347,14524.96604,29049.93208,0.193974,33099.71668,43029.63169,,0.202791,18453.44429,5166.964401,,0.199852,26362.46248,13181.23124,52724.92497,0.193974,98270.41549,65841.17838,,0.199852,26250.02135,10500.00854,,0.156572,49614.30591,23814.86684,,0.3071324,835.0406231,8350.406231,,0.167523,503494.5832,654542.9581
