6FDA-AP6F,,,,6FDA-PDODA,,,,ODPA-AP6F,,,,ODPA-PDODA,,
0.156468,109929.3907,142908.2079,,0.156468,8190.559781,15562.06358,,0.150228,205723.9535,205723.9535,,,,
0.159477,105430.4963,137059.6452,,0.159477,7632.917604,14502.54345,,0.153117,196572.4085,196572.4085,,0.077584,6493368.943,3246684.471
0.162486,100295.5798,130384.2537,,0.162486,7149.50133,13584.05253,,0.156006,188650.4275,188650.4275,,0.080568,5772289.367,2886144.683
0.165495,90808.10256,118050.5333,,0.165495,6625.801451,12589.02276,,0.158895,177104.7947,177104.7947,,0.083552,5032861.566,2516430.783
0.168504,80233.06482,104302.9843,,0.168504,6305.417401,11980.29306,,0.161784,164921.0694,164921.0694,,0.086536,4475821.72,2237910.86
0.171513,73200.72942,95160.94824,,0.171513,6071.558681,11535.96149,,0.164673,162425.5866,162425.5866,,0.08952,3939837.756,1969918.878
0.174522,67537.65859,87798.95616,,0.174522,5766.458437,10956.27103,,0.167562,158922.933,158922.933,,9.25E-02,3532818.586,1766409.293
0.177531,63689.08508,82795.81061,,0.177531,5543.700879,10533.03167,,0.170451,150641.0977,150641.0977,,0.095488,3148375.448,1574187.724
0.18054,56670.67647,73671.87941,,0.18054,5335.85214,10138.11907,,0.17334,135495.6245,135495.6245,,0.098472,2814685.307,1407342.653
0.183549,56446.11373,73379.94785,,0.183549,5086.235873,9663.848158,,0.176229,136934.7768,136934.7768,,0.101456,2533286.629,1266643.314
0.186558,48714.60854,63328.99111,,0.186558,4874.240565,9261.057074,,0.179118,123509.2358,123509.2358,,0.10444,2277642.265,1138821.132
0.189567,46863.14349,60922.08653,,0.189567,4650.88479,8836.6811,,0.182007,114669.5487,114669.5487,,0.107424,2066175.031,1033087.516
0.192576,43205.22019,56166.78624,,0.192576,4504.722227,8558.972231,,0.184896,101939.1436,101939.1436,,0.110408,1863200.695,931600.3477
0.195585,40895.13594,53163.67672,,0.195585,4274.906065,8122.321523,,0.190674,81921.9167,81921.9167,,0.113392,1694636.129,847318.0646
0.198594,36523.64514,47480.73868,,0.198594,4006.131212,7611.649302,,0.193563,74272.4593,74272.4593,,0.116376,1531464.005,765732.0026
0.201603,35185.24569,45740.81939,,0.201603,3992.323714,7585.415057,,0.196452,67754.1038,67754.1038,,0.11936,1390014.588,695007.2942
0.204612,31577.43868,41050.67029,,0.204612,3815.523449,7249.494553,,0.199341,63992.66914,63992.66914,,0.122344,1272176.304,636088.152
0.207621,30920.63427,40196.82456,,0.207621,3771.765741,7166.354907,,0.20223,54419.68378,54419.68378,,0.125328,1162886.218,581443.109
0.21063,29046.29769,37760.187,,0.21063,3748.03851,7121.273169,,0.205119,51188.29057,51188.29057,,0.128312,1070769.807,535384.9037
0.213639,27607.26373,35889.44285,,0.213639,3611.857372,6862.529007,,0.208008,48094.59925,48094.59925,,0.131296,986707.3408,493353.6704
0.216648,24491.68385,31839.18901,,0.216648,3521.484909,6690.821327,,0.210897,44095.80974,44095.80974,,0.13428,907780.5055,453890.2527
0.219657,24148.3702,31392.88126,,0.219657,3402.774175,6465.270932,,0.213786,38643.10628,38643.10628,,0.137264,838990.0232,419495.0116
0.222666,22427.38655,29155.60251,,0.222666,3277.307031,6226.883359,,0.216675,38138.34075,38138.34075,,0.140248,780351.4768,390175.7384
0.225675,21525.86811,27983.62854,,0.225675,3204.109279,6087.807631,,0.219564,35724.89033,35724.89033,,0.143232,729654.0141,364827.007
0.228684,19548.44687,25412.98093,,0.228684,3129.208881,5945.496874,,0.222453,31438.62583,31438.62583,,0.146216,675377.7707,337688.8854
0.231693,18946.60603,24630.58784,,0.231693,3022.013523,5741.825694,,0.225342,31387.60366,31387.60366,,0.1492,630735.6425,315367.8213
0.234702,18134.64685,23575.04091,,0.234702,2967.145654,5637.576743,,0.228231,28361.78484,28361.78484,,0.152184,593790.1704,296895.0852
0.237711,17250.57131,22425.7427,,0.237711,2936.732142,5579.79107,,0.23112,25683.85394,25683.85394,,0.155168,553539.4055,276769.7028
0.24072,15796.72693,20535.74501,,0.24072,2815.760477,5349.944905,,0.234009,23331.28852,23331.28852,,0.158152,519053.9271,259526.9635
0.243729,15044.17715,19557.43029,,0.243729,2729.101886,5185.293584,,0.236898,23360.55145,23360.55145,,0.161136,489575.0356,244787.5178
0.246738,14782.10853,19216.74109,,0.246738,2680.48117,5092.914223,,0.239787,21001.90089,21001.90089,,0.16412,459257.1899,229628.5949
0.249747,13418.86214,17444.52078,,0.249747,2586.795186,4914.910853,,0.242676,19842.02755,19842.02755,,0.167104,433948.8957,216974.4478
0.252756,13299.67639,17289.5793,,0.252756,2513.014094,4774.726779,,0.245565,18658.62093,18658.62093,,0.170088,410594.1828,205297.0914
0.255765,12217.29299,15882.48089,,0.255765,2502.377358,4754.516981,,0.248454,18184.25777,18184.25777,,0.173072,387742.1122,193871.0561
0.258774,11780.23498,15314.30547,,0.258774,2492.333549,4735.433743,,0.251343,16639.15796,16639.15796,,0.176056,368469.0087,184234.5044
0.261783,11311.6183,14705.1038,,0.261783,2452.379498,4659.521047,,0.254232,15432.08773,15432.08773,,0.17904,348320.336,174160.168
0.264792,10746.10916,13969.94191,,0.264792,2426.750658,4610.82625,,0.257121,14905.19018,14905.19018,,0.182024,332756.2902,166378.1451
0.267801,10072.87232,13094.73402,,0.267801,2358.973391,4482.049444,,0.26001,14007.08893,14007.08893,,0.185008,316290.0582,158145.0291
0.27081,9658.920785,12556.59702,,0.27081,2374.084207,4510.759993,,0.262899,12924.50454,12924.50454,,0.187992,300335.8782,150167.9391
0.273819,9154.738234,11901.1597,,0.273819,2351.663346,4468.160358,,0.265788,12451.6983,12451.6983,,0.190976,287709.5021,143854.751
0.276828,8930.597726,11609.77704,,0.276828,2248.549454,4272.243962,,0.268677,11899.27273,11899.27273,,0.19396,275353.8142,137676.9071
0.279837,8208.704332,10671.31563,,0.279837,2231.434048,4239.724691,,0.271566,11434.74998,11434.74998,,0.196944,262379.3536,131189.6768
0.282846,8104.347391,10535.65161,,0.282846,2168.931682,4120.970195,,0.274455,10759.7542,10759.7542,,0.199928,251900.237,125950.1185
0.285855,7707.203532,10019.36459,,0.285855,2161.728083,4107.283358,,0.277344,10125.39346,10125.39346,,0.202912,242027.9338,121013.9669
0.288864,7295.91684,9484.691892,,0.288864,2085.428639,3962.314414,,0.280233,10037.52983,10037.52983,,0.205896,232719.1514,116359.5757
0.291873,7001.665258,9102.164835,,0.291873,2079.673061,3951.378816,,0.283122,9521.706434,9521.706434,,0.20888,223354.4066,111677.2033
0.294882,6820.977751,8867.271076,,0.294882,2081.147218,3954.179714,,0.286011,8879.595382,8879.595382,,0.211864,215723.3274,107861.6637
0.297891,6563.089036,8532.015747,,0.297891,2108.438642,4006.03342,,0.2889,9073.494823,9073.494823,,0.214848,207998.3733,103999.1866
0.3009,6379.416815,8293.24186,,0.3009,2110.724648,4010.376832,,0.291789,8682.508444,8682.508444,,0.217832,200253.5311,100126.7655
0.303909,6194.778858,8053.212515,,0.303909,2043.618615,3882.875369,,0.294678,8074.422487,8074.422487,,0.220816,192968.6006,96484.3003
0.306918,5870.983366,7632.278376,,0.306918,1987.679507,3776.591063,,0.297567,8022.81578,8022.81578,,0.2238,186277.7463,93138.87316
0.309927,5623.975225,7311.167793,,0.309927,1963.200487,3730.080925,,0.300456,8053.158235,8053.158235,,0.226784,180687.1875,90343.59373
0.312936,5570.059743,7241.077666,,0.312936,1982.334253,3766.435082,,0.303345,7728.184394,7728.184394,,0.229768,174804.0939,87402.04694
0.315945,5321.043985,6917.35718,,0.315945,1971.278335,3745.428836,,0.306234,7522.843535,7522.843535,,0.232752,169790.2711,84895.13554
0.318954,5089.882506,6616.847257,,0.318954,1954.540239,3713.626454,,0.309123,7424.916157,7424.916157,,0.235736,164877.3396,82438.66982
0.321963,4849.123723,6303.86084,,0.321963,1980.3908,3762.74252,,0.312012,7288.501255,7288.501255,,0.23872,159712.0824,79856.04119
0.324972,4698.135074,6107.575596,,0.324972,1991.456981,3783.768264,,0.314901,6862.359798,6862.359798,,0.241704,155539.8111,77769.90557
0.327981,4555.605504,5922.287156,,0.327981,1953.881243,3712.374362,,0.31779,6526.136111,6526.136111,,0.244688,151720.3485,75860.17426
0.33099,4442.172307,5774.823999,,0.33099,1931.553188,3669.951056,,0.320679,6399.351978,6399.351978,,0.247672,147993.9798,73996.98992
0.333999,4358.981192,5666.67555,,0.333999,1934.333565,3675.233773,,0.323568,6200.384187,6200.384187,,0.250656,143910.5295,71955.26475
0.337008,4334.188961,5634.445649,,0.337008,1932.409517,3671.578083,,0.326457,5809.031291,5809.031291,,0.25364,140449.7187,70224.85935
0.340017,4167.481469,5417.72591,,0.340017,1946.384566,3698.130676,,0.329346,5553.388209,5553.388209,,0.256624,137595.79,68797.89502
0.343026,4008.151024,5210.596331,,0.343026,1934.160583,3674.905107,,0.332235,5571.508741,5571.508741,,0.259608,134749.7308,67374.8654
0.346035,3818.809409,4964.452231,,0.346035,1930.825521,3668.568491,,0.335124,5298.449648,5298.449648,,0.262592,131481.4679,65740.73395
0.349044,3675.930385,4778.7095,,0.349044,1932.24842,3671.271998,,0.338013,5078.49319,5078.49319,,0.265576,128778.8749,64389.43745
0.352053,3626.887296,4714.953484,,0.352053,1939.316233,3684.700843,,0.340902,4963.452866,4963.452866,,0.26856,126153.1877,63076.59387
0.355062,3569.157253,4639.904429,,0.355062,1914.58881,3637.71874,,0.343791,4918.959196,4918.959196,,0.271544,123984.6962,61992.34808
0.358071,3412.758964,4436.586653,,0.358071,1899.303634,3608.676904,,0.34668,4696.250027,4696.250027,,0.274528,121232.4961,60616.24803
0.36108,3394.905419,4413.377045,,0.36108,1869.780541,3552.583028,,0.349569,4544.750883,4544.750883,,0.277512,119391.9995,59695.99974
0.364089,3273.290153,4255.277199,,0.364089,1855.380804,3525.223527,,0.352458,4504.773356,4504.773356,,0.280496,117616.4102,58808.20508
0.367098,3149.421555,4094.248021,,0.367098,1857.433274,3529.12322,,0.355347,4328.018938,4328.018938,,0.28348,116205.3513,58102.67564
0.370107,3225.07833,4192.601828,,0.370107,1918.081314,3644.354496,,0.358236,4159.92148,4159.92148,,0.286464,114089.4762,57044.7381
0.373116,3066.550974,3986.516266,,0.373116,1883.971457,3579.545768,,0.361125,4008.303532,4008.303532,,0.289448,112611.9148,56305.9574
0.376125,3039.913419,3951.887445,,0.376125,1833.987641,3484.576518,,0.364014,3943.641786,3943.641786,,0.292432,111021.8474,55510.9237
0.379134,3017.917293,3923.292481,,0.379134,1860.746422,3535.418202,,0.366903,3880.718867,3880.718867,,0.295416,109523.7043,54761.85215
0.382143,2949.288483,3834.075028,,0.382143,1877.428917,3567.114942,,0.369792,3764.591134,3764.591134,,0.2984,108303.016,54151.508
0.385152,2821.580307,3668.054399,,0.385152,1873.279579,3559.2312,,0.372681,3750.859655,3750.859655,,0.301384,107200.1051,53600.05254
0.388161,2747.462692,3571.701499,,0.388161,1853.651981,3521.938764,,0.37557,3680.428829,3680.428829,,0.304368,106085.7822,53042.89111
0.39117,2761.940639,3590.522831,,0.39117,1896.068181,3602.529544,,0.378459,3626.453207,3626.453207,,0.307352,104939.3366,52469.6683
0.394179,2735.383114,3555.998049,,0.394179,1903.743989,3617.11358,,0.381348,3523.521222,3523.521222,,0.310336,104012.7246,52006.36231
0.397188,2683.295447,3488.284081,,0.397188,1928.277552,3663.727348,,0.384237,3551.443785,3551.443785,,0.31332,103052.8524,51526.42618
